DPR_No,Date,Contractor,Crew,Discipline,Spread,Chainage_From,Chainage_To,Quantity,Unit,Progress_Pct,Remarks,Reported_By
DPR-1201,2025-07-01,Ridgeline Constructors,CW-01,Welding,Spread A,4+800,5+100,14,joints,34.5,Progress as planned; 2 joints pending hot pass,S. Menon
DPR-1202,2025-07-01,Delta Civil Co,CW-03,Trenching,Spread A,8+640,8+670,30,m,72.2,Hard clay and gravel; progress as planned,S. Menon
DPR-1203,2025-07-01,Apex Pipeline Services,CW-02,NDT,Spread A,4+100,4+350,12,joints,28.0,RT backlog persisting; awaiting second crew,K. Bhatt
DPR-1204,2025-07-01,Ridgeline Constructors,CW-01,Coating,Spread A,3+600,3+800,10,joints,31.0,Holiday detection clear; 1 minor touch-up,K. Bhatt
DPR-1205,2025-07-01,Apex Pipeline Services,CW-04,Stringing,Spread B,14+200,14+220,20,m,41.5,Pipe delivery batch TR-P4 received at ROW,R. Iyer
DPR-1206,2025-07-01,Ridgeline Constructors,CW-05,Bending,Spread B,12+400,12+600,8,joints,6.5,Cold bending machine calibration complete,R. Iyer
DPR-1207,2025-07-01,Delta Civil Co,CW-06,Civil,PS-1,-,-,12,m3,60.5,Core drill sampling on F-03 slab per NCR-2025-013,R. Iyer
DPR-1208,2025-07-01,Apex Pipeline Services,CW-07,HDD,Spread A,8+400,8+400,0,m,15.0,HDD geotechnical assessment ongoing; borehole caliper run,A. Fernandes
DPR-1209,2025-07-02,Ridgeline Constructors,CW-01,Welding,Spread A,5+100,5+380,11,joints,35.0,Stopped at 5+380 boundary due to NCR-2025-011 hold,S. Menon
DPR-1210,2025-07-02,Ridgeline Constructors,CW-02,Welding,Spread A,5+400,5+400,4,joints,35.2,Cut-out and bevel prep on 4 defective porosity joints,K. Bhatt
DPR-1211,2025-07-02,Delta Civil Co,CW-03,Trenching,Spread A,8+670,8+695,25,m,72.5,Normal shift; ditch depth verified at 2.1m,S. Menon
DPR-1212,2025-07-02,Apex Pipeline Services,CW-02,NDT,Spread A,4+350,4+600,15,joints,29.5,RT clearance issued for 14 joints; 1 repair flagged,K. Bhatt
DPR-1213,2025-07-02,Apex Pipeline Services,CW-04,Stringing,Spread B,14+220,14+245,25,m,42.0,Normal shift; padding placed on pipe supports,R. Iyer
DPR-1214,2025-07-02,Ridgeline Constructors,CW-05,Bending,Spread B,12+600,12+800,14,joints,8.0,Bends bent to profile for creek crossing section,R. Iyer
DPR-1215,2025-07-02,Delta Civil Co,CW-06,Civil,Spread B,17+000,17+500,18,m3,86.0,ROW grading and access track stabilization,S. Menon
DPR-1216,2025-07-02,Apex Pipeline Services,CW-07,HDD,Spread A,8+400,8+400,0,m,15.0,Mud engineer on site testing polymer viscosifier blends,A. Fernandes
DPR-1217,2025-07-03,Ridgeline Constructors,CW-01,Welding,Spread A,5+420,5+700,9,joints,35.6,Rain delay 3h in afternoon; welding shelters deployed,S. Menon
DPR-1218,2025-07-03,Ridgeline Constructors,CW-02,Welding,Spread A,5+400,5+400,2,joints,35.8,Re-welding completed on NCR-2025-011 joints W-4A-0105/0106,K. Bhatt
DPR-1219,2025-07-03,Delta Civil Co,CW-03,Trenching,Spread A,8+695,8+710,15,m,72.6,Lost 3h due to torrential rain; ditch pumping required,S. Menon
DPR-1220,2025-07-03,Ridgeline Constructors,CW-01,Coating,Spread A,3+800,4+000,8,joints,31.8,Coating halted early due to high humidity and rain,K. Bhatt
DPR-1221,2025-07-03,Apex Pipeline Services,CW-04,Stringing,Spread B,14+245,14+260,15,m,42.5,Rain delay 3h; suspended crane operations,R. Iyer
