DPR_No,Date,Contractor,Crew,Discipline,Spread,Chainage_From,Chainage_To,Quantity,Unit,Progress_Pct,Remarks,Reported_By
DPR-1326,2025-07-21,Ridgeline Constructors,CW-01,Welding,Spread A,9+300,9+600,24,joints,47.8,Progress as planned; mainline welding production steady,S. Menon
DPR-1327,2025-07-21,Apex Pipeline Services,CW-02,NDT,Spread A,9+000,9+300,23,joints,53.8,Dual RT teams operational; film interpretation per API 1104,K. Bhatt
DPR-1328,2025-07-21,Delta Civil Co,CW-03,Trenching,Spread B,12+160,12+195,35,m,3.2,Trenching advancing on Spread B; rock wheel ditcher operational,S. Menon
DPR-1329,2025-07-21,Ridgeline Constructors,CW-01,Coating,Spread A,8+350,8+700,26,joints,52.8,Joint coating applied up to river east tie-in point,K. Bhatt
DPR-1330,2025-07-21,Apex Pipeline Services,CW-05,Welding,Spread B,13+200,13+500,22,joints,12.8,Welding progressing on Spread B; weld IDs W-4B-0110 to 0131,R. Iyer
DPR-1331,2025-07-21,Delta Civil Co,CW-06,Mechanical,PS-1,-,-,2,skids,15.0,PS-1 mechanical erection started; Main Booster Pump Skid MP-01 positioned,R. Iyer
DPR-1332,2025-07-21,Apex Pipeline Services,CW-04,Civil,Spread A,0+000,0+100,15,m3,10.0,Commissioning prep: staging hydrotest filling header and pig trap foundation,R. Iyer
DPR-1333,2025-07-21,Apex Pipeline Services,CW-07,HDD,Spread A,8+400,8+400,15,m,42.0,HDD final 24in barrel reaming pass advancing; mud weight 1.18 SG,A. Fernandes
DPR-1334,2025-07-22,Ridgeline Constructors,CW-01,Welding,Spread A,9+600,9+900,22,joints,48.9,Mainline welding running on schedule; pre-heat verified,S. Menon
DPR-1335,2025-07-22,Apex Pipeline Services,CW-02,NDT,Spread A,9+300,9+600,24,joints,55.0,RT clearance granted up to KP 9+600; zero repairs,K. Bhatt
DPR-1336,2025-07-22,Delta Civil Co,CW-03,Trenching,Spread B,12+195,12+230,35,m,3.8,Spread B trenching progressing smoothly in gravelly soil,S. Menon
DPR-1337,2025-07-22,Ridgeline Constructors,CW-01,Coating,Spread A,8+700,9+000,24,joints,54.2,Field joint sleeve heat shrink application and visual QA,K. Bhatt
