Report_No,Date,Weld_No,Chainage,Spread,RT_Technique,Film_Density,Sensitivity_pct,Defect_Found,Defect_Type,Defect_Size_mm,Acceptance_Criteria,Result,Radiographer_ID,Comments
RT-2025-W28-001,2025-07-07,W-4A-0272,9+250,Spread A,DWSI Ir-192,2.42,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Production weld CW-01; acceptable sound weld
RT-2025-W28-002,2025-07-07,W-4B-0110,13+520,Spread B,SWSI X-Ray,2.64,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-03,Crew 2: Crawler X-ray exposure; full penetration verified
RT-2025-W28-003,2025-07-07,W-4A-0258-R1,8+250,Spread A,DWSI Ir-192,2.38,1.8%,No,None,0.0,API 1104 Sec 9.5,Accept,RAD-02,Re-radiography of repair RPR-2025-013; previously rejected IF fully repaired and accepted
RT-2025-W28-004,2025-07-07,W-4A-0080-R1,5+380,Spread A,DWSI Ir-192,2.45,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-04,Crew 2: NCR-2025-011 re-shot joint 1 of 6; root repair clear of porosity
RT-2025-W28-005,2025-07-07,W-4A-0081-R1,5+392,Spread A,DWSI Ir-192,2.40,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-04,Crew 2: NCR-2025-011 re-shot joint 2 of 6; repair accepted per API 1104
RT-2025-W28-006,2025-07-07,W-4B-0109,13+380,Spread B,DWSI Ir-192,2.35,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-03,Crew 2: Clean root profile; weld accepted
RT-2025-W28-007,2025-07-07,W-4A-0271,9+200,Spread A,SWSI X-Ray,2.58,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Tie-in sequence; complete sidewall fusion
RT-2025-W28-008,2025-07-07,W-4B-0111,13+660,Spread B,DWSI Ir-192,2.30,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Sound weld metal; no linear indications
RT-2025-W28-009,2025-07-08,W-4A-0273,9+300,Spread A,DWSI Ir-192,2.38,1.8%,Yes,Incomplete Fusion,9.2,API 1104 Sec 9.5,Reject,RAD-03,Crew 2: Lack of fusion at bevel face 9.2mm at 2 o clock; exceeds API 1104 limit
RT-2025-W28-010,2025-07-08,W-4A-0275,9+420,Spread A,DWSI Ir-192,2.44,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Production weld CW-02; acceptable density and sensitivity
RT-2025-W28-011,2025-07-08,W-4A-0276,9+480,Spread A,SWSI X-Ray,2.62,1.6%,Yes,Porosity,1.8,API 1104 Sec 9.3,Accept,RAD-02,Scattered pore 1.8mm in cap pass; within acceptable limits
RT-2025-W28-012,2025-07-08,W-4B-0112,13+800,Spread B,DWSI Ir-192,2.33,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-04,Crew 2: Mainline weld CW-05; full penetration achieved
RT-2025-W28-013,2025-07-08,W-4A-0082-R1,5+404,Spread A,DWSI Ir-192,2.41,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-03,Crew 2: NCR-2025-011 re-shot joint 3 of 6; repair accepted per API 1104
